Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
6063,07/11/1996,11/18/1996,1996,Residential   Motor Vehicle Noise,
19411,08/20/2007,12/12/2008,2007,Industrial/commercial   heat Pump/ac Noise,
18257,10/12/2006,10/12/2006,2006,Industrial/commercial  construction/repair/demolit,
15443,10/20/2004,02/01/2005,2004,Residential   Construction/repair/demolition,
1990900807,03/16/1990,04/04/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
23333,05/11/2010,06/11/2010,2010,Residential House/yard,
6075,07/22/1996,07/29/1996,1996,Industrial/commercial   Equipment Noise,
7238,04/11/1997,04/14/1997,1997,Industrial/commercial  construction/repair/demolit,
1991920615,11/12/1991,12/02/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4814,08/08/1995,09/11/1995,1995,Residential House/yard,
5781,05/06/1996,06/27/1996,1996,Industrial/commercial   Electrical Amp Equip,
1991911539,06/25/1991,07/03/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1989900295,09/15/1989,09/11/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1992930021,07/02/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1991920179,08/06/1991,09/04/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1991911282,05/09/1991,06/11/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
6432,10/15/1996,11/26/1996,1996,Industrial/commercial   Equipment Noise,
16026,03/15/2005,03/15/2005,2005,Industrial/commercial   Refuse Noise Collection,
6815,02/06/1997,03/03/1997,1997,Industrial/commercial   Equipment Noise,
6584,11/29/1996,01/13/1997,1996,Residential House/yard,
1992921467,06/15/1992,09/09/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1990910654,12/17/1990,01/14/1991,1990,Residential Muti Tenant Dwelling,
4517,06/06/1995,06/27/1995,1995,Residential   El  Amplification Equip,
5827,05/13/1996,06/04/1996,1996,Industrial/commercial   Equipment Noise,
1990900735,03/05/1990,03/21/1990,1990,Industrial/commercial   Refuse Noise Collection,
1990900928,04/20/1990,05/17/1990,1990,Waiver Request,
1989900336,10/06/1989,11/09/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
5517,03/15/1996,04/23/1996,1996,Industrial/commercial  construction/repair/demolit,
20271,04/25/2008,07/15/2008,2008,Waiver Request,
4150,03/08/1995,05/04/1995,1995,Residential House/yard,
20151573,05/04/2015,05/20/2015,2015,Industrial/commercial  construction/repair/demolit,
