licensee_name,street,city,state,zip,licensee_number,channel_type,account_name,rtd_contract,location
AMC THEATRES WHEATON 9,11006 VEIRS MILL RD,wheaton,MD,20902,BBWLHR21332,On Premise,"AMC OF MARYLAND, LLC",No,11006 VEIRS MILL RD WHEATON MD 20902
AMERICAN LEGION POST #171,"10201 LEWIS DRIVE, P.O. BOX 171",damascus,MD,20872,CBWLC20177,On Premise,DEPT. MD DAMASCUS AMER. LG. # 171,No,"10201 LEWIS DRIVE, P.O. BOX 171 DAMASCUS MD 20872"
AMERICAN LEGION POST 268,11225 FERN STREET,silver_spring,MD,20902,CBWLFV002,On Premise,WHEATON POST #268,No,11225 FERN STREET SILVER SPRING MD 20902
AMERICAN LEGION POST #41,905 SLIGO AVE,silver_spring,MD,20910,CBWLFV012,On Premise,"CISSEL-SAXON POST #41, INC.",No,905 SLIGO AVE SILVER SPRING MD 20910
AMERICAN LEGION POST #86,2013 VEIRS MILL ROAD,rockville,MD,20851,CBWLFV016,On Premise,"HENDERSON-SMITH-EDMONDS#86, INC",No,2013 VEIRS MILL ROAD ROCKVILLE MD 20851
AMERICAS SUPERMARKET,2404 UNIVERSITY BLVD.,wheaton,MD,20902,ABW767359,Off Premise,"BITENCOURT HOLDINGS, LLC",No,2404 UNIVERSITY BLVD. WHEATON MD 20902
AMY TEXMEX BAR AND GRILL,621 SLIGO AVE.,silver_spring,MD,20910,BBWLHR798369,On Premise,AMY TEX MEX BAR & GRILL LLC,No,621 SLIGO AVE. SILVER SPRING MD 20910
ANDY'S BEER AND WINE,15523 NEW HAMPSHIRE AVE,silver_spring,MD,20905,ABW21694,Off Premise,"JS2Y, INC",Yes,15523 NEW HAMPSHIRE AVE SILVER SPRING MD 20905
ANDY'S PIZZA BETHESDA,4600 EAST WEST HIGHWAY,bethesda,MD,20814,BDBWL1024433,On/Off-Premise,"ANDYS PIZZA EAST WEST, LLC",No,4600 EAST WEST HIGHWAY BETHESDA MD 20814
ANDY'S PIZZA KENTLANDS,145 COMMERCE SQUARE PLACE,gaithersburg,MD,20878,BBWLHR1937544,On Premise,ANDYS PIZZA COMMERCE SQUARE PL LLC,No,145 COMMERCE SQUARE PLACE GAITHERSBURG MD 20878
AP PIZZA SHOP NEIGHBORHOOD PIZZERIA & AVENTINO ROMAN ITALIAN,4747 BETHESDA AVENUE,bethesda,MD,20814,BBWLHR834400,On Premise,"NO PLACE LIKE ROME, LLC",No,4747 BETHESDA AVENUE BETHESDA MD 20814
APPLEBEE'S,21048 FREDERICK ROAD,germantown,MD,20876,BBWLHR645,On Premise,POTOMAC FAMILY DINING GROUP,No,21048 FREDERICK ROAD GERMANTOWN MD 20876
ARADA MARKET,6844 NEW HAMPSHIRE AVE,takoma_park,MD,20912,DBW1300545,On/Off-Premise,Y AND E INCORPORATED,No,6844 NEW HAMPSHIRE AVE TAKOMA PARK MD 20912
ARAT KILO MARKET AND RESTAURANT,818 EASLEY STREET,silver_spring,MD,20910,HBW23352,On Premise,"HELINA ASEGED AND SONS, LLC",No,818 EASLEY STREET SILVER SPRING MD 20910
