licensee_name,street,city,state,zip,licensee_number,channel_type,account_name,rtd_contract,location
BUFFALO WILD WINGS-GAITH,668 CLOPPER RD.,gaithersburg,MD,20878,BBWLHR389274,On Premise,"BWW LEX PARK, LLC",No,668 CLOPPER RD. GAITHERSBURG MD 20878
BURGERFI,8504 FENTON STREET,silver_spring,MD,20910,HBWHR34596,On Premise,"BUFISS, LLC",No,8504 FENTON STREET SILVER SPRING MD 20910
BURGERFI-GAITHERSBURG,5 GRAND CORNER AVE.,gaithersburg,MD,20878,HBWHR733356,On/Off-Premise,"BUFIRIO, LLC",No,5 GRAND CORNER AVE. GAITHERSBURG MD 20878
BURNING TREE CLUB,8600 BURDETTE ROAD,bethesda,MD,20817,CBWLCC007,On Premise,"BURNING TREE CLUB, INC.",No,8600 BURDETTE ROAD BETHESDA MD 20817
BURTONS GRILL & BAR,109 COMMERCE SQUARE PL.,gaithersburg,MD,20878,BDBWL310263,On/Off-Premise,"BURTONS GRILL OF GAITH., LLC",No,109 COMMERCE SQUARE PL. GAITHERSBURG MD 20878
BUTCHER'S ALLEY,4961 BETHESDA AVE.,bethesda,MD,20814,ABW39882,Off Premise,"PD & BA, LLC",No,4961 BETHESDA AVE. BETHESDA MD 20814
BUTLER'S ORCHARD,22200-C DAVIS MILL ROAD,germantown,MD,20876,DBW1081432,On/Off-Premise,"BUTLER'S ORCHARD MARKET, INC",No,22200-C DAVIS MILL ROAD GERMANTOWN MD 20876
CABIN JOHN MEMORIAL VFW POST 5633,11511 MACARTHUR BLVD.,potomac,MD,20854,CBWLC002,On Premise,CABIN JOHN MEMORIAL VFW 5633,No,11511 MACARTHUR BLVD. POTOMAC MD 20854
CADDIES ON CORDELL,4922 CORDELL AVENUE,bethesda,MD,20814,BBWLHR27463,On Premise,HOLE IN ONE OF MD LLC,No,4922 CORDELL AVENUE BETHESDA MD 20814
CAFE K,1300 SPRING ST,silver_spring,MD,20910,BBWHR1875544,On/Off-Premise,"KAFE K, LLC",No,1300 SPRING ST SILVER SPRING MD 20910
CAFE ROMA,12166 DARNESTOWN ROAD,gaithersburg,MD,20878,BBWLHR30393,On Premise,"MILA, INC.",No,12166 DARNESTOWN ROAD GAITHERSBURG MD 20878
CAFE SOPHIE,7940 AIRPARK ROAD SUITE 201,gaithersburg,MD,20879,BBWHR888400,On/Off-Premise,CAFE SOPHE LLC,No,7940 AIRPARK ROAD SUITE 201 GAITHERSBURG MD 20879
CAFE VIA ROMA,911 BONIFANT STREET,silver_spring,MD,20910,BBWLHR1552544,On Premise,ASMARINI LLC,No,911 BONIFANT STREET SILVER SPRING MD 20910
CALIENTE RESTAURANT & BAR,2442 ENNALLS AVE,silver_spring,MD,20902,BBWLHR763,On Premise,"CALIENTE RESTAURANT & BAR, COR",No,2442 ENNALLS AVE SILVER SPRING MD 20902
CALIFORNIA FISH GRILL,12238 ROCKVILLE PIKE,rockville,MD,20852,BBWLHR1681544,On Premise,"CALIFORNIA FISH GRILL, LLC",No,12238 ROCKVILLE PIKE ROCKVILLE MD 20852
CALIFORNIA PIZZA KITCHEN - BETHESDA,7101 DEMOCRACY BLVD,bethesda,MD,20817,BBWLHR676,On Premise,"CALIFORNIA PIZZA KITCHEN, INC.",No,7101 DEMOCRACY BLVD BETHESDA MD 20817
CALIFORNIA PIZZA KITCHEN - GAITH,136 BOARDWALK PLACE,gaithersburg,MD,20878,BBWLHR674,On Premise,"CALIFORNIA PIZZA KITCHEN, INC",No,136 BOARDWALK PLACE GAITHERSBURG MD 20878
CALLEVA FARM,19120 MARTINSBURG RD,dickerson,MD,20842,DBWL997425,On Premise,CALLEVA INC,No,19120 MARTINSBURG RD DICKERSON MD 20842
CAMBRIA HOTEL & SUITES,1 HELEN HENEGHAN WAY,rockville,MD,20850,BBWLHM650358,On Premise,"PEACHTREE HOSPITALITY MGMT., LLC",No,1 HELEN HENEGHAN WAY ROCKVILLE MD 20850
CAMPEON,902 MERRIMAC DRIVE,takoma_park,MD,20912,HBW321,On Premise,"CAMPEON, INC",No,902 MERRIMAC DRIVE TAKOMA PARK MD 20912
CANCUN MEXICAN CUISINE,117 EAST DIAMOND AVE,gaithersburg,MD,20877,BBWLHR249,On Premise,"CANCUN MEXICAN CUISINE, INC.",No,117 EAST DIAMOND AVE GAITHERSBURG MD 20877
CANOPY,940 ROSE AVENUE,north_bethesda,MD,20852,BBWLHM33201,On Premise,"PNR HOTEL XXVI OPERATOR, LLC",No,940 ROSE AVENUE NORTH BETHESDA MD 20852
CAPITAL BEER & WINE,7903 NORFOLK AVE,bethesda,MD,20814,ABWS2121544,Off Premise,"BETHESDA BEER AND WINE, LLC",Yes,7903 NORFOLK AVE BETHESDA MD 20814
CAPTAIN'S MARKET,7607 MACARTHUR BLVD.,cabin_john,MD,20818,DBW39382,On/Off-Premise,JAE AND JAE MARKET CORP.,Yes,7607 MACARTHUR BLVD. CABIN JOHN MD 20818
CARIBBEAN FLAVOR,11524 MIDDLEBROOK RD.,germantown,MD,20876,DBW42301,On/Off-Premise,"CARIBBEAN FLAVOR, LLC",No,11524 MIDDLEBROOK RD. GERMANTOWN MD 20876
CARRABBAS ITALIAN GRILL,19935 CENTURY BLVD,germantown,MD,20874,BBWLHR099,On Premise,"CARRABBAS OF GERMANTOWN, INC.",No,19935 CENTURY BLVD GERMANTOWN MD 20874
CAVA MEZZE-OLNEY,3124 OLNEY SANDY SPRING RD,olney,MD,20832,BBWLHR22697,On Premise,"DTI 108, LLC",No,3124 OLNEY SANDY SPRING RD OLNEY MD 20832
CAVA RESTAURANT,9713 TRAVILLE GATEWAY DRIVE,rockville,MD,20850,BBWLHR066,On Premise,"DTI, LLC,",No,9713 TRAVILLE GATEWAY DRIVE ROCKVILLE MD 20850
CEDAR GROVE STORE,23412 RIDGE ROAD,germantown,MD,20876,DBW61603,On/Off-Premise,CHEAM CORPORATION,Yes,23412 RIDGE ROAD GERMANTOWN MD 20876
CENTER FOR LEADER EXCELLENCE,6777 & 6801 ROCKLEDGE DR.,bethesda,MD,20817,BBWLHR223265,On Premise,"ARAMARK SPORTS & ENTMT. SVCS., LLC",No,6777 & 6801 ROCKLEDGE DR. BETHESDA MD 20817
CENTRADO CAFE SHOP,15530 OLD COLUMBIA PIKE,burtonsville,MD,20866,BDBWL785366,On/Off-Premise,CENTRADO INVESTMENTS LLC,No,15530 OLD COLUMBIA PIKE BURTONSVILLE MD 20866
CHADOL,1403 RESEARCH BLVD.,rockville,MD,20850,BBWLHR655356,On Premise,"DAE SEUNG, INC.",No,1403 RESEARCH BLVD. ROCKVILLE MD 20850
CHAPEL BEER & WINE,19737 FREDERICK RD,germantown,MD,20876,ABWS1066434,Off Premise,"CHAPEL BEER & WINE, LLC",Yes,19737 FREDERICK RD GERMANTOWN MD 20876
CHARLEY CHESAPEAKE CHOPHOUSE,"9811 WASHINGTONIAN BLVD, L9",gaithersburg,MD,20878,BBWLHR848402,On Premise,9811 WASHINGTONIAN HOSPITALITY LLC,No,"9811 WASHINGTONIAN BLVD, L9 GAITHERSBURG MD 20878"
CHARM THAI RESTAURANT,"8408 GEORGIA AVE, UNIT A",silver_spring,MD,20910,HBW291,On Premise,"DEEWANDEEKERN, INC.",No,"8408 GEORGIA AVE, UNIT A SILVER SPRING MD 20910"
CHEESESTEAK MIKE'S,10222 NEW HAMPSHIRE AVE,silver_spring,MD,20903,BDBWL1062553,On/Off-Premise,"DJS OH, LLC",No,10222 NEW HAMPSHIRE AVE SILVER SPRING MD 20903
CHEF LEES ELEMENT,521 QUINCE ORCHARD RD.,gaithersburg,MD,20878,HBWHR653362,On Premise,"CHEF LI, LLC",No,521 QUINCE ORCHARD RD. GAITHERSBURG MD 20878
CHEF TONY'S @ AMALFI,12307 WILKINS AVE,rockville,MD,20852,BBWLHR942417,On Premise,AUDACE LLC,No,12307 WILKINS AVE ROCKVILLE MD 20852
CHERCHER ETHIOPIAN CUISINE,4921 BETHESDA AVENUE,bethesda,MD,20814,BBWLHR34720,On Premise,"CHERO,LLC",No,4921 BETHESDA AVENUE BETHESDA MD 20814
CHEVY CHASE CLUB,6100 CONNECTICUT AVE,chevy_chase,MD,20815,CBWLCCO008,On Premise,"CHEVY CHASE CLUB, INC.",No,6100 CONNECTICUT AVE CHEVY CHASE MD 20815
CHEZ AVIOLE,7912 GEORGIA AVENUE,silver_spring,MD,20910,BBWLHR2017544,On Premise,CHEZ AVIOLE,No,7912 GEORGIA AVENUE SILVER SPRING MD 20910
CHICKEN POCHA,12933 WISTERIA DR,germantown,MD,20874,BBWLHR1002420,On Premise,CHICKEN POCHA,No,12933 WISTERIA DR GERMANTOWN MD 20874
CHIDO'S TEX-MEX GRILL,931 ELLSWORTH DRIVE,silver_spring,MD,20910,BBWLHR1230498,On Premise,"EL TENAMPA III, LLC",No,931 ELLSWORTH DRIVE SILVER SPRING MD 20910
CHINA GARDEN HAN GONG,11333 WOODGLEN DR.,rockville,MD,20852,BBWLHR42899,On Premise,"CHINA GARDEN OF VIRGINIA, INC.",No,11333 WOODGLEN DR. ROCKVILLE MD 20852
CHINA JADE,16805 CRABBS BRANCH WAY,derwood,MD,20855,HBW237,On Premise,"JIN SHENG, INC.",No,16805 CRABBS BRANCH WAY DERWOOD MD 20855
CHINESE EXPRESS,849 RUSSELL AVE.,gaithersburg,MD,20879,BBWLHR717357,On Premise,"W&Y FOOD, LLC",No,849 RUSSELL AVE. GAITHERSBURG MD 20879
CHIPOTLE MEXICAN GRILL - BETHESDA,7624 OLD GEORGETOWN ROAD,bethesda,MD,20814,BBWLHR299,On Premise,"CHIPOTLE MEXICAN GRILL, INC.",No,7624 OLD GEORGETOWN ROAD BETHESDA MD 20814
CHIPOTLE MEXICAN GRILL- CC,4471 WILLARD AVE,chevy_chase,MD,20815,BBWLHR540,On Premise,CHIPOTLE MEXICAN GRILL OF MARY,No,4471 WILLARD AVE CHEVY CHASE MD 20815
CHIPOTLE MEXICAN GRILL - GAITH,"564  NORTH FREDERICK AVE, UNIT4",gaithersburg,MD,20877,BBWLHR315,On Premise,CHIPOLTE MEXICAN GRILL OF MD L,No,"564 NORTH FREDERICK AVE, UNIT4 GAITHERSBURG MD 20877"
CHIPOTLE MEXICAN GRILL - KENTLANDS,96 MAIN STREET,gaithersburg,MD,20878,BBWLHR541,On Premise,CHIPOTLE MEXICAN GRILL OF MARY,No,96 MAIN STREET GAITHERSBURG MD 20878
CHIPOTLE MEXICAN GRILL - OLNEY,3333 OLNEY SANDY SPRING ROAD,olney,MD,20832,BBWLHR316,On Premise,CHIPOTLE MEXICAN GRILL OF MD L,No,3333 OLNEY SANDY SPRING ROAD OLNEY MD 20832
CHIPOTLE MEXICAN GRILL - SS,907 ELLSWORTH DRIVE,silver_spring,MD,20910,BBWLHR542,On Premise,CHIPTOLE MEXICAN GRILL OF MARY,No,907 ELLSWORTH DRIVE SILVER SPRING MD 20910
CHOICE MARKET,18700 WALKERS CHOICE ROAD,montgomery_village,MD,20886,ABW24171,Off Premise,"E AND F, INC",No,18700 WALKERS CHOICE ROAD MONTGOMERY VILLAGE MD 20886
CHOICE WINE & BEER,11160 VEIRS MILL RD.,wheaton,MD,20902,ABWS566348,Off Premise,"PERFECT CHOICE WINE & BEER, LLC",Yes,11160 VEIRS MILL RD. WHEATON MD 20902
CHOP SHOP BUTCHERY,12209 DARNESTOWN ROAD,gaithersburg,MD,20878,ABWS1190498,Off Premise,CHOP SHOP NEIGHBORHOOD BUTCHERY LLC,No,12209 DARNESTOWN ROAD GAITHERSBURG MD 20878
CIELO ROJO,7211 CARROLL AVE,takoma_park,MD,20912,BBWLHR1059436,On Premise,SHILOH RESTAURANT GROUP LLC,No,7211 CARROLL AVE TAKOMA PARK MD 20912
CINEPOLIS,629 CENTER POINT WAY,gaithersburg,MD,20878,BBWLHR122259,On Premise,"MARYLAND CINEMA INVESTMENTS, LLC",No,629 CENTER POINT WAY GAITHERSBURG MD 20878
CITADEL CREOLE CUISINE,11300 FERN ST,silver_spring,MD,20902,BBWLHR1871544,On Premise,CITADEL CREOLE CUISINE LLC,No,11300 FERN ST SILVER SPRING MD 20902
CITIZENS & CULTURE,8113 GEORGIA AVE,silver_spring,MD,20910,BBWLHR907411,On Premise,CITIZENS INC,No,8113 GEORGIA AVE SILVER SPRING MD 20910
CITY LIGHTS OF CHINA,4953 BETHESDA AVENUE,bethesda,MD,20814,BBWLHR1071900,On Premise,Q & Q RESTAURANT,No,4953 BETHESDA AVENUE BETHESDA MD 20814
CLARKSBURG BEER & WINE,23335 FREDERICK RD.,clarksburg,MD,20871,ABWS468301,Off Premise,SHANKER LIMITED,Yes,23335 FREDERICK RD. CLARKSBURG MD 20871
CLARKSBURG TAVERN,23315 FREDERICK RD.,clarksburg,MD,20871,BBWLHR641363,On Premise,"THE CLARKSBURG TAVEN, LLC",No,23315 FREDERICK RD. CLARKSBURG MD 20871
CLASSIC BEER & WINE,891-C ROCKVILLE PIKE,rockville,MD,20852,ABWS650360,Off Premise,"CLASSIC WINE ROCKVILLE, LLC",Yes,891-C ROCKVILLE PIKE ROCKVILLE MD 20852
CLEAR SKIES MEADERY,15201 DISPLAY COURT,rockville,MD,20850,DBW986418,On/Off-Premise,R & H EIGNER,No,15201 DISPLAY COURT ROCKVILLE MD 20850
CLOUD9 NAILS LOUNGE,20940 FREDERICK RD STE E,germantown,MD,20876,SCBBWL1219496,On Premise,CLOUD9 NAILS LOUNGE LLC,No,20940 FREDERICK RD STE E GERMANTOWN MD 20876
CLYDE'S OF CHEVY CHASE,5441 WISCONSIN AVENUE,chevy_chase,MD,20815,BBWLHR86259,On Premise,"CLYDE'S OF CHEVY CHASE, LLC",No,5441 WISCONSIN AVENUE CHEVY CHASE MD 20815
CLYDE'S TOWER OAKS LODGE,2 PRESERVE PARKWAY,rockville,MD,20852,BBWLHR339,On Premise,CLYDE'S TOWER OAKS LODGE LLC,No,2 PRESERVE PARKWAY ROCKVILLE MD 20852
COAL FIRE,116 MAIN STREET,gaithersburg,MD,20878,BBWLHR586,On Premise,"COAL FIRE PIZZA OF KENTLANDS,",No,116 MAIN STREET GAITHERSBURG MD 20878
COASTAL FLATS,135 CROWN PARK AVENUE,gaithersburg,MD,20878,BBWLHR853,On Premise,COASTAL FLATS - CROWN,No,135 CROWN PARK AVENUE GAITHERSBURG MD 20878
COLESVILLE BEER & WINE,13468 NEW HAMPSHIRE AVE,silver_spring,MD,20904,ABWS038,Off Premise,"COLESVILLE BEER AND WINE, INC.",Yes,13468 NEW HAMPSHIRE AVE SILVER SPRING MD 20904
COLONY GRILL,11325 SEVEN LOCKS ROAD #50,potomac,MD,20854,BBWLHR1037433,On Premise,CABIN JOHN LLC,No,11325 SEVEN LOCKS ROAD #50 POTOMAC MD 20854
COLUMBIA COUNTRY CLUB,7900 CONNECTICUT AVE,chevy_chase,MD,20815,CBWLCCO009,On Premise,COLUMBIA COUNTRY CLUB INC.,No,7900 CONNECTICUT AVE CHEVY CHASE MD 20815
COMMAS FOOD HALL,"8661 COLESVILLE ROAD, UNIT C101",silver_spring,MD,20910,BDBWL1390544,On/Off-Premise,"ELLSWORTH PLACE FOOD HALL, LLC",No,"8661 COLESVILLE ROAD, UNIT C101 SILVER SPRING MD 20910"
COMMONWEALTH INDIAN,11610 OLD GEORGETOWN ROAD,north_bethesda,MD,20852,BBWLHR36044,On Premise,"COMMONWEALTH INDIAN, INC",No,11610 OLD GEORGETOWN ROAD NORTH BETHESDA MD 20852
COMUS INN,23900 OLD HUNDRED ROAD,dickerson,MD,20842,BDBWL1238537,On/Off-Premise,10 RULES LLC,No,23900 OLD HUNDRED ROAD DICKERSON MD 20842
CONCLAVE RESTAURANT,6834 NEW HAMPSHIRE AVENUE,takoma_park,MD,20912,DBWL1815544,On Premise,"CONCLAVE RESTAURANT AND LOUNGE, LLC",No,6834 NEW HAMPSHIRE AVENUE TAKOMA PARK MD 20912
CONGRESSIONAL COUNTRY CLUB,8500 RIVER ROAD,potomac,MD,20817,CBWLCCO010,On Premise,"CONGRESSIONAL COUNTRY CLUB, IN",No,8500 RIVER ROAD POTOMAC MD 20817
CONVENIENCE EXPRESS,948 WAYNE AVE,silver_spring,MD,20910,ABW030,Off Premise,"JOACHIM & JOYCE, INC.",Yes,948 WAYNE AVE SILVER SPRING MD 20910
CONVENIENT BEER AND WINE,8441 SNOUFFER SCHOOL ROAD,gaithersburg,MD,20879,ABW27890,Off Premise,"CONVENIENT BEER AND WINE, INC",Yes,8441 SNOUFFER SCHOOL ROAD GAITHERSBURG MD 20879
COOPER'S HAWK WINERY & RESTAURANT,1403 RESEARCH BLVD.,rockville,MD,20850,BDBWL43341,On/Off-Premise,"COOPER'S HAWK ROCKVILLE, LLC",No,1403 RESEARCH BLVD. ROCKVILLE MD 20850
COPPER CANYON GRILL  - GAITHERSBURG,100 BOARDWALK PLACE,gaithersburg,MD,20878,BBWLHR340,On Premise,"CANYON GRILL ENTERPRISES, LLC",No,100 BOARDWALK PLACE GAITHERSBURG MD 20878
COPPER CANYON GRILL- SILVER SPRING,928 ELLSWORTH DRIVE,silver_spring,MD,20910,BBWLHR079,On Premise,"RED ROCK CANYON GRILL, LLC",No,928 ELLSWORTH DRIVE SILVER SPRING MD 20910
CORK 57 BEER & WINE,4910 BETHESDA AVE,bethesda,MD,20814,DBW102,On/Off-Premise,NONE,No,4910 BETHESDA AVE BETHESDA MD 20814
CORNER MARKET BEER AND WINE,8309 GRUBB RD,silver_spring,MD,20910,ABWS1352544,Off Premise,ROCK CREEK MARKET OF MD LLC,Yes,8309 GRUBB RD SILVER SPRING MD 20910
COSTA GRANDE RESTAURANT,15883 REDLAND ROAD,derwood,MD,20855,DBW1294549,On/Off-Premise,COSTA GRANDE MEXICAN RESTAURANT LLC,No,15883 REDLAND ROAD DERWOOD MD 20855
COURTYARD BY MARRIOTT-CHEVY CHASE,5520 WISCONSIN AVE.,chevy_chase,MD,20815,BBWLHM475300,On Premise,"5520 WISCONSIN HOTEL PROP, LP",No,5520 WISCONSIN AVE. CHEVY CHASE MD 20815
COURTYARD BY MARRIOTT - GAITH,204 BOARDWALK PLACE,gaithersburg,MD,20878,BBWLHM018,On Premise,COURTYARD MANAGEMENT LLC,No,204 BOARDWALK PLACE GAITHERSBURG MD 20878
COURTYARD BY MARRIOTT - PROSPERITY,12521 PROSPERITY DRIVE,silver_spring,MD,20904,BBWLHM214,On Premise,COURTYARD II ASSOCIATES LIMITE,No,12521 PROSPERITY DRIVE SILVER SPRING MD 20904
COURTYARD BY MARRIOTT-ROCKVILLE,2500 RESEARCH BOULEVARD,rockville,MD,20850,BBWLHM19293,On Premise,COURTYARD MANAGEMENT LLC,No,2500 RESEARCH BOULEVARD ROCKVILLE MD 20850
COURTYARD BY MARRIOTT-SILVER SPRING,8506 FENTON STREET,silver_spring,MD,20910,BBWLHM210,On Premise,SILVER SPRING HOTEL ASSOCIATES,No,8506 FENTON STREET SILVER SPRING MD 20910
CRAFT BEER AND WINE,4459 WILLARD AVE,chevy_chase,MD,20815,DBW1027433,On/Off-Premise,CRAFT BEER AND WINE LLC,Yes,4459 WILLARD AVE CHEVY CHASE MD 20815
CUBA DE AYER,15446 OLD COLUMBIA PIKE,burtonsville,MD,20866,BBWLHR139,On Premise,"CUBA DE AYER, INC.",No,15446 OLD COLUMBIA PIKE BURTONSVILLE MD 20866
CUBANO'S RESTAURANT 2,4907 CORDELL AVE.,bethesda,MD,20814,BBWLHR43805,On Premise,"MENDEZ & MENDEZ, INC.",No,4907 CORDELL AVE. BETHESDA MD 20814
CUGINIS RESTAURANT & BAR,"19616 FISHER AVE, UNIT H",poolesville,MD,20837,BDBWL758,On/Off-Premise,"CUGINIS RESTAURANT & BAR, LLC",No,"19616 FISHER AVE, UNIT H POOLESVILLE MD 20837"
CURRY PLACE,12951 WISTERIA DRIVE,germantown,MD,20874,BBWHR124,On/Off-Premise,CURRY PLACE LLC,No,12951 WISTERIA DRIVE GERMANTOWN MD 20874
CURRY PLACE-SILVER SPRING,11229 NEW HAMPSHIRE AVENUE,silver_spring,MD,20904,HBWHR1798544,On Premise,CURRY PLACE THREE LLC,No,11229 NEW HAMPSHIRE AVENUE SILVER SPRING MD 20904
DAD'S BEER & WINE,603 HUNGERFORD DRIVE,rockville,MD,20850,ABWS203,Off Premise,"DAD'S BEER & WINE, LLC",Yes,603 HUNGERFORD DRIVE ROCKVILLE MD 20850
DARO'S BEER AND WINE,2501 ENNALLS AVE,wheaton,MD,20902,DBW1057432,On/Off-Premise,ETHIO PROGRESS LLC,No,2501 ENNALLS AVE WHEATON MD 20902
DAVE & BUSTER'S - GAITHERSBURG,"911 WASHINGTONIAN BLVD., SUITE H1",gaithersburg,MD,20878,BBWLHR36112,On Premise,"DAVE & BUSTER'S OF MARYLAND, INC.",No,"911 WASHINGTONIAN BLVD., SUITE H1 GAITHERSBURG MD 20878"
DAVE & BUSTER'S - SILVER SPRING,8661 COLESVILLE ROAD SUITE E-102,silver_spring,MD,20910,BBWLHR24779,On Premise,"DAVE & BUSTER'S OF MARYLAND, INC",No,8661 COLESVILLE ROAD SUITE E-102 SILVER SPRING MD 20910
DAWSON'S MARKET,9636 GUDELSKY DRIVE,rockville,MD,20850,CATBWL1453544,On Premise,DM USG LLC,No,9636 GUDELSKY DRIVE ROCKVILLE MD 20850
DELHI SPICE,4925 BETHESDA AVE,bethesda,MD,20814,BBWLHR951413,On Premise,MATSYA LLC,No,4925 BETHESDA AVE BETHESDA MD 20814
DEMPSEYS OF ASHTON,1 OLNEY SANDY SPRING ROAD,ashton,MD,20861,BBWLHR731,On Premise,IRM SLONIN INC MICHAEL SLONIN,No,1 OLNEY SANDY SPRING ROAD ASHTON MD 20861
DERWOOD BEER & WINE,17601 REDLAND ROAD,derwood,MD,20855,DBW133,On/Off-Premise,"SUBH LAXMI, INC.",Yes,17601 REDLAND ROAD DERWOOD MD 20855
DESSIE ETHIOPIAN RESTAURANT & MARKET,2655 UNIVERSITY BLVD,silver_spring,MD,20902,BDBWL1008423,On/Off-Premise,PENIAL LLC,No,2655 UNIVERSITY BLVD SILVER SPRING MD 20902
DIAMOND FAST FOOD BEER WINE AND TOBACCO,504 E DIAMOND AVE,gaithersburg,MD,20877,DBW1717544,On/Off-Premise,RIGHTTIME MANAGEMENT INC,No,504 E DIAMOND AVE GAITHERSBURG MD 20877
DIAMOND SQUARE BEER & WINE,38 BUREAU DRIVE,gaithersburg,MD,20878,ABW283,Off Premise,"J&J BEER AND WINE, INC.",Yes,38 BUREAU DRIVE GAITHERSBURG MD 20878
DICKERSON MARKET,PO BOX 175,dickerson,MD,20842,ABW052,Off Premise,"DICKERSON SERVICES, INC.",Yes,PO BOX 175 DICKERSON MD 20842
DILL DINKERS,4942 BOILING BROOK PARKWAY,north_bethesda,MD,20852,DBW1284549,On/Off-Premise,DILL DINKERS LLC,No,4942 BOILING BROOK PARKWAY NORTH BETHESDA MD 20852
DISTRICT BISTRO AND FRANK'S BURGERS,11230 GRANDVIEW AVE,silver_spring,MD,20902,BDBWL1069448,On/Off-Premise,SIMPLE FOOD GROUP LLC,No,11230 GRANDVIEW AVE SILVER SPRING MD 20902
DISTRICT TACO,1310 EAST WEST HWY.,silver_spring,MD,20910,HBWHR387275,On Premise,"DISTRICT TACO, LLC",No,1310 EAST WEST HWY. SILVER SPRING MD 20910
DOCK OF THE BAY,429 S. FREDERICK AVENUE,gaithersburg,MD,20877,DBW836400,On/Off-Premise,"URKAY, LLC",Yes,429 S. FREDERICK AVENUE GAITHERSBURG MD 20877
DOGFISH HEAD ALEHOUSE,800 W. DIAMOND AVENUE,gaithersburg,MD,20878,BDBWL1568545,On/Off-Premise,"AMERICAN ALEHOUSE, LLC",No,800 W. DIAMOND AVENUE GAITHERSBURG MD 20878
DOG HAUS BIERGARTEN-BETH.,7904 WOODMONT AVENUE,bethesda,MD,20814,BBWLHR29718,On Premise,"CASTLEROCK RESTAURANTS 1, LLC",No,7904 WOODMONT AVENUE BETHESDA MD 20814
DOG HAUS BIERGARTEN-KENTLAND,644 CENTER POINT WAY,gaithersburg,MD,20878,BBWLHR95263,On Premise,"DHKMSQ, LLC",No,644 CENTER POINT WAY GAITHERSBURG MD 20878
DOG HAUS BIERGARTEN-SS,933 ELLSWORTH DR.,silver_spring,MD,20910,BBWLHR471301,On Premise,"DHSS, LLC",No,933 ELLSWORTH DR. SILVER SPRING MD 20910
DOK KHAO THAI EATERY,8551-201 CONNECTICUT AVENUE,chevy_chase,MD,20815,BBWLHR1635544,On Premise,"SP CHEVY CHASE, INC",No,8551-201 CONNECTICUT AVENUE CHEVY CHASE MD 20815
DOLLAR PLUS STORE AND BEER & WINE,11250 TRIANGLE LANE,silver_spring,MD,20902,ABW1203514,Off Premise,FKRE LLC,No,11250 TRIANGLE LANE SILVER SPRING MD 20902
DON CHICKEN,"404 KING FARM BOULEVARD, SUITE 130",rockville,MD,20850,BBWLHR1955544,On Premise,K KITCHEN LLC,No,"404 KING FARM BOULEVARD, SUITE 130 ROCKVILLE MD 20850"
DONO AUTHENTIC AFRICAN RESTAURANT & LOUNGE,13075 WISTERIA DR,germantown,MD,20874,BBWLHR1978544,On Premise,AUTHENTIC AFRICAN RESTAURANT LLC,No,13075 WISTERIA DR GERMANTOWN MD 20874
DON POLLO-GERMANTOWN,21040-A FREDERICK ROAD,germantown,MD,20876,HBWHR35720,On Premise,"DON POLLO OF GERMANTOWN, LLC",No,21040-A FREDERICK ROAD GERMANTOWN MD 20876
DON POLLO OF POTOMAC,10321 WESTLAKE DRIVE,bethesda,MD,20817,HBW29871,On Premise,"DON POLLO OF POTOMAC, INC.",No,10321 WESTLAKE DRIVE BETHESDA MD 20817
DON RAMON RESTAURANT,13816 OLD COLUMBIA PIKE,silver_spring,MD,20904,BBWLHR1225508,On Premise,"RC ARBAIZA ENTERPRISE, INC",No,13816 OLD COLUMBIA PIKE SILVER SPRING MD 20904
DOUBLETREE BY HILTON SS DC N.,8777 GEORGIA AVE.,silver_spring,MD,20910,BBWLHM629356,On Premise,"LCOF SS OPERATING, LLC",No,8777 GEORGIA AVE. SILVER SPRING MD 20910
DOUBLETREE WASH. DC N. GAITHERSBURG,620 PERRY PKWY,gaithersburg,MD,20877,BBWLHR36508,On Premise,"GAITHERSBURG OPERATOR, LLC",No,620 PERRY PKWY GAITHERSBURG MD 20877
DOVIS BEST RESTAURANT & BAR,13843 OUTLET DRIVE,silver_spring,MD,20904,BBWLHR1251527,On Premise,"DOVIS BEST RESTAURANT & BAR, CYNDY'S SEAFOOD, LLC",No,13843 OUTLET DRIVE SILVER SPRING MD 20904
DOWNTOWN BEER AND WINE 3,70 UPPER ROCK CIR,rockville,MD,20850,DBW22817,On/Off-Premise,DOWNTOWN BEER & WINE 3 CORP,Yes,70 UPPER ROCK CIR ROCKVILLE MD 20850
DOWNTOWN BREW'S,5751 FISHERS LN,rockville,MD,20852,DBW1662544,On/Off-Premise,DOWNTOWN BREWS INVESTMENTS LLC,No,5751 FISHERS LN ROCKVILLE MD 20852
DOWNTOWN CROWN WINE & BEER,303 COPLEY PLACE,gaithersburg,MD,20878,DBW155,On/Off-Premise,"CROWN BEER & WINE, LLC.",Yes,303 COPLEY PLACE GAITHERSBURG MD 20878
DRAGON CITY,918 SLIGO AVE.,silver_spring,MD,20910,ABW669356,Off Premise,"DRAGON CITY, LLC",No,918 SLIGO AVE. SILVER SPRING MD 20910
DUKES GROCERY,10128 RIVER ROAD,potomac,MD,20854,BBWLHR1511545,On Premise,DUKES POTOMAC LLC,No,10128 RIVER ROAD POTOMAC MD 20854
DUMPLING DISTRICT,19775 FREDERICK ROAD,germantown,MD,20876,BBWLHR1732544,On Premise,DD GERMANTOWN INC,No,19775 FREDERICK ROAD GERMANTOWN MD 20876
